scorer,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3
bodyparts,body1,body1,body2,body2,head,head,lefthanbdtop,lefthanbdtop,lefthandbottom,lefthandbottom,leftlegbottom,leftlegbottom,leftlegtop,leftlegtop,righthandbottom,righthandbottom,righthandtop,righthandtop,rightlegbottom,rightlegbottom,rightlegtop,rightlegtop,body1,body1,body2,body2,head,head,lefthanbdtop,lefthanbdtop,lefthandbottom,lefthandbottom,leftlegbottom,leftlegbottom,leftlegtop,leftlegtop,righthandbottom,righthandbottom,righthandtop,righthandtop,rightlegbottom,rightlegbottom,rightlegtop,rightlegtop,body1,body1,body2,body2,head,head,lefthanbdtop,lefthanbdtop,lefthandbottom,lefthandbottom,leftlegbottom,leftlegbottom,leftlegtop,leftlegtop,righthandbottom,righthandbottom,righthandtop,righthandtop,rightlegbottom,rightlegbottom,rightlegtop,rightlegtop
metrics,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf
0,3.4824701191187977,1.0,3.7805978721760662,1.0,3.237487063627798,1.0,3.887419759187204,1.0,0.6318117670634228,1.0,4.471467126200346,1.0,,,1.6834253314530683,1.0,3.9452230216031543,1.0,0.29999069077025314,1.0,4.854994645414251,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3.722075121323733,1.0,2.3312179052167425,1.0,3.4726594455505753,1.0,3.1554448305898624,1.0,1.7653081279431677,1.0,2.352840971165087,1.0,3.6160040004255,1.0,4.25656025454245,1.0,3.4188909918006964,1.0,2.6654259340488062,1.0,1.9812594331905602,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.5056877636393895,1.0,2.413033910620205,1.0,1.9410120153362904,1.0,2.5207412731154144,1.0,,,3.0109108870396284,1.0,3.723903739301244,1.0,2.423150930712933,1.0,3.634901498451604,1.0,2.8860568732404657,1.0,2.0241791402966505,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4.228908493132767,1.0,2.1104137977475896,1.0,1.158222003084611,1.0,3.258373640933291,1.0,2.400437604043571,1.0,1.2377129467699968,1.0,2.1686157281037977,1.0,0.5626680991044672,1.0,1.9010193369913504,1.0,1.175164007549268,1.0,3.287020346999254,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.3040392597921706,1.0,1.6860558861208004,1.0,5.35374897847533,1.0,5.513098043708201,1.0,,,3.304885217691846,1.0,6.284726885551851,1.0,6.0631889591913675,1.0,4.530250342683007,1.0,2.80560110748577,1.0,1.2641921329852066,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3.1218119343070514,1.0,2.4538002660267795,1.0,3.7663082291180117,1.0,0.6429943558706365,1.0,2.123991647586393,1.0,,,4.835262096865274,1.0,3.891229562371847,1.0,2.0190730249759836,1.0,2.2679120175075855,1.0,2.5222206746026936,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2.3239914125498675,1.0,4.559878049626456,1.0,2.7404828284742413,1.0,0.5378576556281216,1.0,1.9964368472548415,1.0,,,4.65830448041649,1.0,4.697177871212106,1.0,3.8133679337142476,1.0,2.2450222252432885,1.0,3.051324925820652,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2.249866469624324,1.0,1.8524916944758576,1.0,3.2658279579242913,1.0,3.5316978699363877,1.0,1.3996187796974717,1.0,,,3.8987383118922114,1.0,2.6063876969607698,1.0,0.6273468196411645,1.0,2.260358546723531,1.0,3.780795241641747,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
