scorer,,,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski
individuals,,,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3
bodyparts,,,righthandbottom,righthandbottom,righthandtop,righthandtop,lefthandbottom,lefthandbottom,lefthanbdtop,lefthanbdtop,rightlegbottom,rightlegbottom,rightlegtop,rightlegtop,leftlegbottom,leftlegbottom,leftlegtop,leftlegtop,head,head,body1,body1,body2,body2,righthandbottom,righthandbottom,righthandtop,righthandtop,lefthandbottom,lefthandbottom,lefthanbdtop,lefthanbdtop,rightlegbottom,rightlegbottom,rightlegtop,rightlegtop,leftlegbottom,leftlegbottom,leftlegtop,leftlegtop,head,head,body1,body1,body2,body2,righthandbottom,righthandbottom,righthandtop,righthandtop,lefthandbottom,lefthandbottom,lefthanbdtop,lefthanbdtop,rightlegbottom,rightlegbottom,rightlegtop,rightlegtop,leftlegbottom,leftlegbottom,leftlegtop,leftlegtop,head,head,body1,body1,body2,body2
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,How fast does an Ostrich run.mov-1r-b8uY7C9E-480p-1651401905685,img0050.png,,,,,,,,,384.2190295,267.1786686,374.8870441,241.0491096,365.5550587,269.9782643,381.4194339,234.5167198,357.1562719,183.1908002,359.0226689,214.9195505,386.0854265,217.7191461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,How fast does an Ostrich run.mov-1r-b8uY7C9E-480p-1651401905685,img0087.png,,,,,,,,,395.4174119,255.9802862,387.9518236,231.7171242,371.1542499,258.7798818,381.4194339,231.7171242,365.5550587,161.7272338,364.6218602,199.9883739,393.5510149,206.5207637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,How fast does an Ostrich run.mov-1r-b8uY7C9E-480p-1651401905685,img0152.png,,,,,,,,,369.2878529,254.1138891,387.0186251,221.4519403,386.0854265,262.5126759,374.8870441,224.2515359,361.8222646,148.6624543,359.9558675,186.9235944,380.4862353,194.3891827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,How fast does an Ostrich run.mov-1r-b8uY7C9E-480p-1651401905685,img0434.png,,,,,,,,,464.4741037,308.2394043,439.2777432,242.9155066,399.1502061,313.8385955,395.4174119,247.5814993,359.0226689,120.6664982,363.6886616,197.1887783,425.2797651,195.3223812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,How fast does an Ostrich run.mov-1r-b8uY7C9E-480p-1651401905685,img0523.png,,,,,,,,,353.4234777,297.0410219,331.0267128,228.9175286,330.0935143,273.7110584,357.1562719,219.5855432,301.1643596,96.40333618,307.6967494,173.8588148,364.6218602,173.8588148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,How fast does an Ostrich run.mov-1r-b8uY7C9E-480p-1651401905685,img0585.png,,,,,,,,,408.4821915,322.2373824,386.0854265,254.1138891,387.0186251,292.3750292,412.2149856,242.9155066,348.757485,119.7332996,349.6906836,201.854771,412.2149856,201.854771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,How fast does an Ostrich run.mov-1r-b8uY7C9E-480p-1651401905685,img0814.png,,,,,,,,,238.6400575,284.9094409,252.6380356,243.8487052,245.1724473,330.6361692,236.7736605,238.249514,144.3870052,101.0693289,148.1197994,193.4559841,263.8364181,189.72319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,How fast does an Ostrich run.mov-1r-b8uY7C9E-480p-1651401905685,img1077.png,,,,,,,,,457.941714,244.7819037,452.3425227,208.3871607,500.8688467,256.9134847,504.6016409,220.5187417,499.9356482,135.5976748,519.5328175,189.72319,485.9376701,193.4559841,,,,,,,,,48.2675558,271.8446613,29.60358504,258.7798818,32.40318065,295.1746248,74.39711486,254.1138891,79.06310755,169.1928221,86.52869586,218.6523447,45.46796018,223.3183374,,,,,,,,,,,,,,,,,,,,,,
labeled-data,How fast does an Ostrich run.mov-1r-b8uY7C9E-480p-1651401905685,img1215.png,,,,,,,,,426.2129637,240.115911,406.6157944,214.9195505,370.2210514,232.6503227,377.6866397,213.0531534,413.1481842,170.1260207,416.8809783,194.3891827,390.7514192,197.1887783,,,,,,,,,191.0469321,230.7839257,232.1076678,213.0531534,258.2372268,227.0511315,223.7088809,215.852749,260.1036239,169.1928221,249.83844,192.5227856,218.1096897,194.3891827,,,,,,,,,,,,,,,,,,,,,,
labeled-data,How fast does an Ostrich run.mov-1r-b8uY7C9E-480p-1651401905685,img1231.png,,,,,,,,,410.3485885,217.7191461,386.0854265,199.0551754,386.0854265,229.8507271,405.6825958,201.854771,418.7473754,152.3952485,427.1461622,185.9903958,393.5510149,185.0571973,,,,,,,,,249.83844,212.1199549,229.3080722,209.3203593,204.1117116,227.0511315,231.1744692,199.9883739,273.1684035,158.9276382,260.1036239,185.9903958,228.3748736,183.1908002,,,,,,,,,,,,,,,,,,,,,,
labeled-data,How fast does an Ostrich run.mov-1r-b8uY7C9E-480p-1651401905685,img1339.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,How fast does an Ostrich run.mov-1r-b8uY7C9E-480p-1651401905685,img1429.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,How fast does an Ostrich run.mov-1r-b8uY7C9E-480p-1651401905685,img1509.png,,,,,,,,,377.6866397,227.0511315,373.9538456,213.986352,375.8202426,238.249514,360.889066,218.6523447,373.9538456,185.9903958,372.0874485,202.7879695,359.9558675,208.3871607,,,,,,,,,207.8445058,233.5835213,194.7797263,226.117933,193.8465277,242.9155066,195.7129248,229.8507271,213.443697,188.7899914,207.8445058,210.2535578,191.9801306,210.2535578,,,,,,,,,,,,,,,,,,,,,,
labeled-data,How fast does an Ostrich run.mov-1r-b8uY7C9E-480p-1651401905685,img1620.png,,,,,,,,,323.5611245,254.1138891,325.4275216,241.0491096,319.8283304,259.7130803,329.1603157,242.9155066,316.0955362,200.9215724,324.494323,217.7191461,330.0935143,227.0511315,,,,,,,,,415.9477798,266.2454701,410.3485885,240.115911,429.9457578,261.5794774,431.8121549,234.5167198,418.7473754,199.9883739,417.8141768,222.3851388,421.546971,232.6503227,,,,,,,,,,,,,,,,,,,,,,
labeled-data,How fast does an Ostrich run.mov-1r-b8uY7C9E-480p-1651401905685,img1780.png,,,,,,,,,388.8850222,262.5126759,375.8202426,245.7151023,399.1502061,279.3102496,387.0186251,242.9155066,394.4842134,172.9256163,390.7514192,207.4539622,371.1542499,219.5855432,,,,,,,,,336.625904,290.5086321,339.4254997,250.381095,326.3607201,274.6442569,317.9619333,248.5146979,337.5591026,181.3244031,341.2918967,214.9195505,320.7615289,227.98433,,,,,,,,,,,,,,,,,,,,,,
